;porosity;characteristical_pore_length;sample_id;MEAN_pore_row_length;median_pore_row_length;MEAN_material_row_length;median_material_row_length;sum_medians;sum_MEANS
175;0,2;10,0;3,0;25,292753623188407;19,0;79,08210180623973;73,0;92,0;104,37485542942814
176;0,2;15,0;3,0;31,038416763678697;27,0;95,88594297148575;81,0;108,0;126,92435973516444
177;0,2;20,0;3,0;52,10403397027601;51,0;139,1463068181818;122,0;173,0;191,25034078845783
178;0,2;25,0;3,0;48,33797909407666;38,0;159,25042016806722;151,0;189,0;207,58839926214387
179;0,2;30,0;3,0;60,391304347826086;53,0;147,32596685082873;128,0;181,0;207,71727119865483
180;0,25;5,0;3,0;13,039809606231069;11,0;38,183133526250515;27,0;38,0;51,22294313248158
181;0,25;10,0;3,0;28,5069788383611;25,0;71,05436057880328;50,0;75,0;99,56133941716439
182;0,25;15,0;3,0;39,11194029850746;31,0;103,35300794551645;73,0;104,0;142,4649482440239
183;0,25;20,0;3,0;50,628571428571426;44,0;126,89320388349515;99,0;143,0;177,52177531206658
184;0,25;25,0;3,0;51,48790322580645;41,0;182,2593984962406;173,0;214,0;233,74730172204704
185;0,25;30,0;3,0;70,09681227863047;49,0;167,38322813345357;148,0;197,0;237,48004041208404
186;0,3;5,0;3,0;14,446896551724137;12,0;33,49239172844323;26,0;38,0;47,93928828016737
187;0,3;10,0;3,0;26,210683601045947;22,0;58,68882175226586;44,0;66,0;84,89950535331181
188;0,3;15,0;3,0;47,475641025641025;39,0;91,65576407506703;71,0;110,0;139,13140510070804
189;0,3;20,0;3,0;50,62893081761006;40,0;120,74877536738978;86,0;126,0;171,37770618499985
190;0,3;25,0;3,0;56,470957613814754;46,0;138,00318979266348;123,0;169,0;194,47414740647824
191;0,3;30,0;3,0;60,130391173520565;52,0;168,99543378995435;153,0;205,0;229,1258249634749
192;0,35;5,0;3,0;15,49870418363569;13,0;28,701904253425877;22,0;35,0;44,20060843706157
193;0,35;10,0;3,0;31,418672501823487;26,0;54,90839958520567;45,0;71,0;86,32707208702917
194;0,35;15,0;3,0;42,09711684370258;38,0;78,49296458030082;61,0;99,0;120,5900814240034
195;0,35;20,0;3,0;49,60791366906475;39,0;89,10159253157606;63,0;102,0;138,70950620064082
196;0,35;25,0;3,0;64,26484751203853;59,0;121,80649926144756;80,0;139,0;186,07134677348608
197;0,35;30,0;3,0;75,62779922779923;59,0;108,93481481481481;93,0;152,0;184,56261404261403
198;0,4;5,0;3,0;17,28811188811189;14,0;24,925281473899695;19,0;33,0;42,21339336201159
199;0,4;10,0;3,0;31,64426125554851;25,0;45,189542483660134;35,0;60,0;76,83380373920865
200;0,4;15,0;3,0;50,409674234945705;43,0;69,32071809801067;53,0;96,0;119,73039233295637
201;0,4;20,0;3,0;69,81742738589212;56,0;88,80641183723797;78,0;134,0;158,6238392231301
202;0,4;25,0;3,0;71,1788990825688;60,0;112,10184501845019;85,0;145,0;183,280744101019
203;0,4;30,0;3,0;99,26876090750436;84,0;94,82514450867052;69,0;153,0;194,0939054161749
204;0,45;5,0;3,0;20,05284256559767;15,0;24,738771769019248;18,0;33,0;44,791614334616916
205;0,45;10,0;3,0;37,74761255115962;29,0;44,819486152819486;37,0;66,0;82,5670987039791
206;0,45;15,0;3,0;51,95235780262518;41,0;65,24988190836089;52,0;93,0;117,20223971098608
207;0,45;20,0;3,0;76,6036709721278;72,0;85,20025756600128;72,0;144,0;161,80392853812907
208;0,45;25,0;3,0;91,31595576619273;75,0;94,44817518248175;76,0;151,0;185,76413094867448
209;0,45;30,0;3,0;107,24587155963303;109,0;103,30806451612904;88,0;197,0;210,55393607576207
210;0,5;5,0;3,0;20,847399829497014;16,0;21,109391124871;17,0;33,0;41,95679095436802
211;0,5;10,0;3,0;41,122610415293344;30,0;41,13376667807047;34,0;64,0;82,25637709336382
212;0,5;15,0;3,0;59,41901576684185;47,0;57,36376604850214;41,0;88,0;116,782781815344
213;0,5;20,0;3,0;66,77280086346465;59,0;66,59527732015376;54,0;113,0;133,36807818361842
214;0,5;25,0;3,0;74,22165605095542;51,0;85,648;64,0;115,0;159,86965605095543
215;0,5;30,0;3,0;106,36741767764298;94,0;97,02539682539683;80,0;174,0;203,3928145030398
216;0,1;5,0;4,0;9,475915221579962;9,0;72,93514228987425;53,0;62,0;82,41105751145422
217;0,1;10,0;4,0;18,791519434628974;17,0;116,11376927166401;84,0;101,0;134,905288706293
218;0,1;15,0;4,0;29,814410480349345;25,0;168,88285492629944;138,0;163,0;198,6972654066488
219;0,1;20,0;4,0;42,82212257100149;40,0;178,6556564822461;160,0;200,0;221,4777790532476
220;0,1;25,0;4,0;31,938671209540033;30,0;229,0;266,0;296,0;260,93867120954
221;0,1;30,0;4,0;41,03693181818182;35,5;230,39445628997868;274,0;309,5;271,4313881081605
222;0,15;5,0;4,0;10,38209982788296;9,0;54,704741943935026;39,0;48,0;65,08684177181799
223;0,15;10,0;4,0;22,005963029218844;19,0;99,90206433029284;80,0;99,0;121,90802735951169
224;0,15;15,0;4,0;30,944696282864914;26,0;141,42723004694835;112,0;138,0;172,37192632981328
225;0,15;20,0;4,0;34,16240875912409;34,0;138,46430953969312;122,0;156,0;172,6267182988172
226;0,15;25,0;4,0;52,47522236340534;50,0;167,6559670781893;141,0;191,0;220,13118944159464
227;0,15;30,0;4,0;50,606141522029375;40,0;173,59262363788767;151,0;191,0;224,19876515991706
228;0,2;5,0;4,0;12,276133088813204;11,0;48,70747295968535;37,0;48,0;60,98360604849855
229;0,2;10,0;4,0;22,683718642400393;19,0;84,9205807002562;59,0;78,0;107,60429934265659
230;0,2;15,0;4,0;30,415865384615383;26,0;101,56112852664577;91,0;117,0;131,97699391126116
231;0,2;20,0;4,0;55,1505376344086;52,0;134,89554317548746;109,0;161,0;190,04608080989607
232;0,2;25,0;4,0;45,43230625583567;40,0;140,54545454545453;118,0;158,0;185,9777608012902
233;0,2;30,0;4,0;53,0625;50,0;232,9030172413793;255,0;305,0;285,9655172413793
234;0,25;5,0;4,0;13,728924895992993;11,0;37,9002079002079;30,0;41,0;51,62913279620089
235;0,25;10,0;4,0;25,895541401273885;21,0;68,53482309124767;51,0;72,0;94,43036449252156
236;0,25;15,0;4,0;35,89498525073746;32,0;100,24931954273272;86,0;118,0;136,14430479347018
237;0,25;20,0;4,0;53,293805309734516;44,0;121,48454963839579;103,0;147,0;174,7783549481303
238;0,25;25,0;4,0;54,67130434782609;48,0;138,5003802281369;107,0;155,0;193,17168457596298
239;0,25;30,0;4,0;74,39759036144578;47,0;175,02387774594078;169,0;216,0;249,42146810738654
240;0,3;5,0;4,0;14,294433781190019;12,0;31,87997756590017;25,0;37,0;46,174411347090185
241;0,3;10,0;4,0;29,53863550697324;24,0;59,68266475644699;47,0;71,0;89,22130026342023
242;0,3;15,0;4,0;37,452694610778444;35,5;95,72612801678909;71,0;106,5;133,17882262756754
243;0,3;20,0;4,0;58,4577522559475;51,0;112,52590673575129;94,0;145,0;170,9836589916988
244;0,3;25,0;4,0;51,60033444816054;44,0;148,7711038961039;119,0;163,0;200,37143834426445
245;0,3;30,0;4,0;68,12423625254583;58,0;151,70528109028962;126,0;184,0;219,82951734283546
246;0,35;5,0;4,0;15,154934687953556;12,0;28,771560940841056;22,0;34,0;43,92649562879461
247;0,35;10,0;4,0;30,7954802259887;26,0;62,04408969973394;43,0;69,0;92,83956992572264
248;0,35;15,0;4,0;45,768261964735515;35,0;68,66369710467706;54,0;89,0;114,43195906941257
249;0,35;20,0;4,0;62,70445956160242;50,0;96,56853396901073;75,0;125,0;159,27299353061315
250;0,35;25,0;4,0;63,62428219852338;56,0;130,30505836575875;101,0;157,0;193,92934056428214
251;0,35;30,0;4,0;85,66208251473478;77,0;162,17471736896198;157,0;234,0;247,83679988369676
252;0,4;5,0;4,0;17,939907834101383;15,0;26,714182344428366;22,0;37,0;44,65409017852975
253;0,4;10,0;4,0;33,008211353088186;28,0;54,09361702127659;43,0;71,0;87,10182837436477
254;0,4;15,0;4,0;49,55282051282051;43,0;70,5861084681256;54,0;97,0;120,1389289809461
255;0,4;20,0;4,0;62,64191616766467;55,0;81,14913294797688;67,0;122,0;143,79104911564156
256;0,4;25,0;4,0;61,34138162307176;60,0;101,48050231328486;87,0;147,0;162,8218839363566
257;0,4;30,0;4,0;79,3826247689464;78,0;132,369384359401;111,0;189,0;211,75200912834742
258;0,45;5,0;4,0;18,83836832223929;15,0;23,21938599517075;18,0;33,0;42,057754317410044
259;0,45;10,0;4,0;35,96396396396396;28,0;46,061094326955356;36,0;64,0;82,02505829091932
260;0,45;15,0;4,0;44,5518102372035;37,0;60,26299694189603;48,0;85,0;104,81480717909952
261;0,45;20,0;4,0;62,842703009653604;50,0;80,2952779438135;68,0;118,0;143,1379809534671
262;0,45;25,0;4,0;85,14450867052022;67,0;115,45158665581774;81,0;148,0;200,59609532633795
263;0,45;30,0;4,0;88,1405030355594;63,0;120,68518518518519;104,0;167,0;208,8256882207446
264;0,5;5,0;4,0;21,730938545518576;17,0;21,12037519541428;17,0;34,0;42,85131374093285
265;0,5;10,0;4,0;37,34609541172896;29,0;38,3822697265011;30,0;59,0;75,72836513823006
266;0,5;15,0;4,0;67,34445023449713;50,0;57,48063555114201;50,0;100,0;124,82508578563915
267;0,5;20,0;4,0;72,03075233388248;63,0;63,2751528627015;56,0;119,0;135,30590519658398
268;0,5;25,0;4,0;85,4574898785425;74,5;78,53483742534837;62,0;136,5;163,99232730389087
269;0,5;30,0;4,0;106,9456;85,5;77,73603351955308;61,0;146,5;184,6816335195531
270;0,1;5,0;5,0;9,935192780968007;9,0;76,97977684797769;52,0;61,0;86,9149696289457
271;0,1;10,0;5,0;23,116883116883116;20,0;133,51681957186545;100,0;120,0;156,63370268874857
272;0,1;15,0;5,0;30,238805970149254;24,0;203,95054945054946;182,5;206,5;234,18935542069872
273;0,1;20,0;5,0;34,19440745672437;29,0;181,70671085335542;181,0;210,0;215,9011183100798
274;0,1;25,0;5,0;42,0503144654088;41,0;202,27618164967564;161,0;202,0;244,32649611508444
